SITE,PLOT,TRT,TRT2,SPP,REP,DATE,SAMP,Ht,FBD,BD,Mortality,Notes
ITEXJ,2,OTC,COMP,GREAUS,21GC,5/11/2012,5,79.1,2.38,2.9,0,ANT NEST/ NW corner
ITEXJ,2,OTC,COMP,GREAUS,21GC,13/04/2013,6,77.51,2.16,2.71,0,ANT NEST/ NW corner
ITEXJ,2,OTC,NORMAL,PHESQU,21PH,15/05/2010,0,76.3,2,1.7,0,
ITEXJ,2,OTC,NORMAL,PHESQU,21PH,22/11/2010,1,83.14,2.36,2.01,0,
ITEXJ,2,OTC,NORMAL,PHESQU,21PH,25/04/2011,2,102.93,2.8,2.68,0,
ITEXJ,2,OTC,NORMAL,PHESQU,21PH,30/10/2011,3,106.14,2.6,2.38,0,
ITEXJ,2,OTC,NORMAL,PHESQU,21PH,8/05/2012,4,141.52,3.53,3.41,0,
ITEXJ,2,OTC,NORMAL,PHESQU,21PH,5/11/2012,5,142.77,3.4,3.22,0,
ITEXJ,2,OTC,NORMAL,PHESQU,21PH,13/04/2013,6,185.17,3.6,3.33,0,
ITEXJ,2,OTC,NORMAL,PROCUN,21PR,15/05/2010,0,125,2.1,2.1,0,
ITEXJ,2,OTC,NORMAL,PROCUN,21PR,22/11/2010,1,133.24,2.91,2.45,0,
ITEXJ,2,OTC,NORMAL,PROCUN,21PR,25/04/2011,2,135.77,3.8,3.48,0,
ITEXJ,2,OTC,NORMAL,PROCUN,21PR,30/10/2011,3,127.41,4.23,4.1,0,
ITEXJ,2,OTC,NORMAL,PROCUN,21PR,8/05/2012,4,210.65,6.84,5.4,0,
ITEXJ,2,OTC,NORMAL,PROCUN,21PR,5/11/2012,5,207.65,5.55,5.19,0,
ITEXJ,2,OTC,NORMAL,PROCUN,21PR,13/04/2013,6,269.09,6.85,6,0,
ITEXJ,2,OTC,NORMAL,ASTTRY,22A,15/05/2010,0,45,0.8,0.8,0,
ITEXJ,2,OTC,NORMAL,ASTTRY,22A,22/11/2010,1,48.72,1.12,0.89,0,
ITEXJ,2,OTC,NORMAL,ASTTRY,22A,25/04/2011,2,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,ASTTRY,22A,30/10/2011,3,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,ASTTRY,22A,8/05/2012,4,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,ASTTRY,22A,5/11/2012,5,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,ASTTRY,22A,13/04/2013,6,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,GREAUS,22G,15/05/2010,0,43.7,1,0.9,0,
ITEXJ,2,OTC,NORMAL,GREAUS,22G,22/11/2010,1,48.9,1.19,1.14,0,
ITEXJ,2,OTC,NORMAL,GREAUS,22G,25/04/2011,2,145.82,2.1,2.2,0,
ITEXJ,2,OTC,NORMAL,GREAUS,22G,30/10/2011,3,145.96,2.36,2.08,0,
ITEXJ,2,OTC,NORMAL,GREAUS,22G,8/05/2012,4,185.81,3.63,3.3,0,
ITEXJ,2,OTC,NORMAL,GREAUS,22G,5/11/2012,5,185.61,2.93,2.97,0,
ITEXJ,2,OTC,NORMAL,GREAUS,22G,13/04/2013,6,194.19,4.21,3.41,0,
ITEXJ,2,OTC,COMP,GREAUS,22GC,15/05/2010,0,35.5,1.1,0.9,0,
ITEXJ,2,OTC,COMP,GREAUS,22GC,22/11/2010,1,30.78,1.29,1.17,0,
ITEXJ,2,OTC,COMP,GREAUS,22GC,25/04/2011,2,42.67,1.49,1.51,0,
ITEXJ,2,OTC,COMP,GREAUS,22GC,30/10/2011,3,43.32,1.92,1.38,0,
ITEXJ,2,OTC,COMP,GREAUS,22GC,8/05/2012,4,71.73,1.95,1.66,0,
ITEXJ,2,OTC,COMP,GREAUS,22GC,5/11/2012,5,78.77,1.65,2.07,0,
ITEXJ,2,OTC,COMP,GREAUS,22GC,13/04/2013,6,109.11,2.23,1.9,0,
ITEXJ,2,OTC,NORMAL,PHESQU,22PH,15/05/2010,0,58.3,1.3,0.9,0,
ITEXJ,2,OTC,NORMAL,PHESQU,22PH,22/11/2010,1,65.33,1.48,1.1,0,
ITEXJ,2,OTC,NORMAL,PHESQU,22PH,25/04/2011,2,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,PHESQU,22PH,30/10/2011,3,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,PHESQU,22PH,8/05/2012,4,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,PHESQU,22PH,5/11/2012,5,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,PHESQU,22PH,13/04/2013,6,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,PROCUN,22PR,15/05/2010,0,76.7,3,3.2,0,
ITEXJ,2,OTC,NORMAL,PROCUN,22PR,22/11/2010,1,97.3,3.39,3.51,0,
ITEXJ,2,OTC,NORMAL,PROCUN,22PR,25/04/2011,2,102.77,4.91,4.86,0,
ITEXJ,2,OTC,NORMAL,PROCUN,22PR,30/10/2011,3,115.51,5.46,5.35,0,
ITEXJ,2,OTC,NORMAL,PROCUN,22PR,8/05/2012,4,189.78,8.34,6.56,0,
ITEXJ,2,OTC,NORMAL,PROCUN,22PR,5/11/2012,5,215.88,6.83,7.46,0,
ITEXJ,2,OTC,NORMAL,PROCUN,22PR,13/04/2013,6,243.66,10.03,11.48,0,
ITEXJ,2,OTC,NORMAL,ASTTRY,23A,15/05/2010,0,41.9,1.1,0.8,0,
ITEXJ,2,OTC,NORMAL,ASTTRY,23A,22/11/2010,1,38.11,1.45,1.17,0,
ITEXJ,2,OTC,NORMAL,ASTTRY,23A,25/04/2011,2,61.52,1.64,1.45,0,
ITEXJ,2,OTC,NORMAL,ASTTRY,23A,30/10/2011,3,60.28,2.01,1.17,0,
ITEXJ,2,OTC,NORMAL,ASTTRY,23A,8/05/2012,4,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,ASTTRY,23A,5/11/2012,5,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,ASTTRY,23A,13/04/2013,6,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,GREAUS,23G,15/05/2010,0,34,0.9,0.9,0,
ITEXJ,2,OTC,NORMAL,GREAUS,23G,22/11/2010,1,32.6,1.21,1.33,0,
ITEXJ,2,OTC,NORMAL,GREAUS,23G,25/04/2011,2,76.38,2.33,1.91,0,
ITEXJ,2,OTC,NORMAL,GREAUS,23G,30/10/2011,3,75.68,1.87,1.95,0,
ITEXJ,2,OTC,NORMAL,GREAUS,23G,8/05/2012,4,134.76,2.77,2.59,0,
ITEXJ,2,OTC,NORMAL,GREAUS,23G,5/11/2012,5,131.6,2.94,2.34,0,
ITEXJ,2,OTC,NORMAL,GREAUS,23G,13/04/2013,6,141.38,2.98,2.24,0,
ITEXJ,2,OTC,COMP,GREAUS,23GC,15/05/2010,0,48.4,0.8,0.7,0,
ITEXJ,2,OTC,COMP,GREAUS,23GC,22/11/2010,1,47.96,1.14,1.08,0,
ITEXJ,2,OTC,COMP,GREAUS,23GC,25/04/2011,2,64.58,1.14,1.22,0,
ITEXJ,2,OTC,COMP,GREAUS,23GC,30/10/2011,3,60.23,1.11,1.13,0,
ITEXJ,2,OTC,COMP,GREAUS,23GC,8/05/2012,4,120.77,1.65,1.73,0,
ITEXJ,2,OTC,COMP,GREAUS,23GC,5/11/2012,5,121.44,1.45,1.31,0,
ITEXJ,2,OTC,COMP,GREAUS,23GC,13/04/2013,6,178.86,2.15,1.93,0,
ITEXJ,2,OTC,NORMAL,PHESQU,23PH,15/05/2010,0,40.5,0.7,0.5,0,
ITEXJ,2,OTC,NORMAL,PHESQU,23PH,22/11/2010,1,41.4,0.95,0.76,0,
ITEXJ,2,OTC,NORMAL,PHESQU,23PH,25/04/2011,2,51,1.09,1.19,0,
ITEXJ,2,OTC,NORMAL,PHESQU,23PH,30/10/2011,3,53.42,1.25,0.9,0,
ITEXJ,2,OTC,NORMAL,PHESQU,23PH,8/05/2012,4,65.25,1.26,1.51,0,
ITEXJ,2,OTC,NORMAL,PHESQU,23PH,5/11/2012,5,63.55,1.03,1.08,0,
ITEXJ,2,OTC,NORMAL,PHESQU,23PH,13/04/2013,6,70.81,0.8,0.69,0,
ITEXJ,2,OTC,NORMAL,PROCUN,23PR,15/05/2010,0,NA,NA,NA,0,
ITEXJ,2,OTC,NORMAL,PROCUN,23PR,22/11/2010,1,60.29,2.08,1.55,0,
ITEXJ,2,OTC,NORMAL,PROCUN,23PR,25/04/2011,2,87.66,2.68,1.69,0,NEAR CRAJAM
ITEXJ,2,OTC,NORMAL,PROCUN,23PR,30/10/2011,3,92.48,2.13,1.31,0,NEAR CRAJAM
ITEXJ,2,OTC,NORMAL,PROCUN,23PR,8/05/2012,4,138.26,3.41,2.07,0,NEAR CRAJAM
ITEXJ,2,OTC,NORMAL,PROCUN,23PR,5/11/2012,5,146.01,3.32,1.71,0,NEAR CRAJAM
ITEXJ,2,OTC,NORMAL,PROCUN,23PR,13/04/2013,6,184.27,3.84,2.55,0,NEAR CRAJAM
ITEXJ,2,OTC,NORMAL,ASTTRY,24A,15/05/2010,0,55.6,2.1,1.7,0,
ITEXJ,2,OTC,NORMAL,ASTTRY,24A,22/11/2010,1,58.1,2.19,1.83,0,
ITEXJ,2,OTC,NORMAL,ASTTRY,24A,25/04/2011,2,91.01,2.31,2.05,0,
ITEXJ,2,OTC,NORMAL,ASTTRY,24A,30/10/2011,3,95.35,2.12,2.09,0,
ITEXJ,2,OTC,NORMAL,ASTTRY,24A,8/05/2012,4,111.74,2.4,2.52,0,
ITEXJ,2,OTC,NORMAL,ASTTRY,24A,5/11/2012,5,109.47,2.29,1.88,0,
ITEXJ,2,OTC,NORMAL,ASTTRY,24A,13/04/2013,6,NA,NA,NA,1,
ITEXJ,2,OTC,NORMAL,GREAUS,24G,15/05/2010,0,84.2,1.2,1,0,
ITEXJ,2,OTC,NORMAL,GREAUS,24G,22/11/2010,1,94.09,1.5,1.48,0,
ITEXJ,2,OTC,NORMAL,GREAUS,24G,25/04/2011,2,117.65,2.31,1.81,0,NEAR CRAJAM
ITEXJ,2,OTC,NORMAL,GREAUS,24G,30/10/2011,3,113.73,2.19,1.91,0,NEAR CRAJAM
ITEXJ,2,OTC,NORMAL,GREAUS,24G,8/05/2012,4,121.26,2.71,2.15,0,NEAR CRAJAM
ITEXJ,2,OTC,NORMAL,GREAUS,24G,5/11/2012,5,122.21,1.91,1.85,0,NEAR CRAJAM
ITEXJ,2,OTC,NORMAL,GREAUS,24G,13/04/2013,6,123.13,0.76,1.81,0,NEAR CRAJAM
